stop,pagerank
ITI Circle,0.00044512435418980116
Nallur,0.0004441712339880695
Hoskote,0.0004440847981764288
BM English School Ulsoor,0.00044406170232486725
RR Kalyanamantapa Okalipuram,0.00044353517632158787
Manganahalli,0.00044084934272259335
Judicial Layout,0.00044016000077722614
Yelahanka 5th Phase,0.00043992958121116517
JC Nagara,0.00043904235023509174
Muthkur Hesaraghatta,0.0004386632863374822
Sophiya School,0.00043840607182586895
Depot 34,0.00043834060249127666
Meenakshi Layout,0.0004381962877077543
Nosenoor,0.0004381962877077543
Razak Palya,0.0004378370126604664
Tavare Kere,0.0004378112158316856
Kudhurgere Madhanayakanahalli,0.0004378112158316856
Agara,0.0004378112158316856
Boganahalli,0.0004377116607487239
Whispering Meawn,0.00043767602563175433
Minaz Nagara,0.00043756587252617273
BNagasandra,0.00043683796109806054
Varthuru,0.00043683796109806054
Marasandra,0.00043683796109806054
Rajarajeshwari Temple,0.0004364245114651434
Chikkakammanahalli,0.00043633840296134114
Bellikere,0.0004360339383736717
Gonipura,0.0004356558356507083
KNarayanapura,0.00043507635420953167
Mahadeshwara Layout,0.00043503500655832415
Adarsha Nagara,0.00043493857471669725
Indian Design Pvt Ltd,0.00043493857471669725
Head Start School,0.00043493857471669725
Depot-13 BS,0.0004345892396510931
Parappana Agrahara,0.0004322188585065389
Beereshwaralayout,0.00043176819777933817
Depot 33,0.0004317478454226554
Infosys Parking Lot,0.0004310886770346494
Kadirenahalli Village,0.00043031196772493486
Vijayapura,0.00042997985669529417
Sonnenahalli Bridge,0.00042814335713285494
HSR BDA Complex,0.00042749952825472915
Naduvatti Colony,0.00042705947626909115
Bandi Reddy Circle,0.00042667270370646984
Mallathahalli,0.0004253948580345458
Shampura,0.00042532814739349464
HDFC BANK,0.000425208510728822
Pillanna Garden,0.00042344214922816563
Sri Ayyapa Educational Center,0.00042293973240846905
Tattaguppe,0.0004215666740269063
Sunkadakatte,0.00042145558766342925
Rajkumar Samadhi,0.0004198519553038681
Venkatagirikote,0.00041947359224184786
Thara Hunise,0.00041866617750175813
Head Start School Gate,0.00041823775927230964
JHBCS Cross,0.0004180953502614423
Manyatha Tech Park,0.0004166461213294681
Banasawadi Fire Statiion,0.00041633907214846597
BMTC Depot-03,0.0004153915681692984
Vidyapeeta Circle,0.00041480595934427066
Mahadeshwara Nagara 16th Main,0.0004143297118144459
CAP GEMINI,0.00041420143108703445
Babusab Palya,0.000413309569620349
Begur,0.0004117795698437626
Poornapragna Layout,0.00041148272262083894
Bande Kodigehalli,0.0004102499608885276
Neo Town,0.0004097278742821351
Vaidehi Hospital,0.0004096941828050075
Sadhashivanagar,0.00040862342995129483
Sarakki Signal B S,0.0004078801905487864
Gollarahatti,0.0004074310522035971
HBR Layout 5th Block,0.0004071099620536372
Global Village,0.0004070259911763476
Rajaji Nagara Entrance,0.00040695504722266184
Abbigere Village,0.00040672318949101576
Patelappa Layout,0.0004062720241816934
Kittaganur,0.00040623626240297384
St John Wood Apartments,0.00040619567515141734
Nagashettyhalli,0.0004061465022012385
Rajarajeshwarinagara BEML Layout,0.00040492797547504744
Srinagar,0.00040411596152353823
K NarayanaPura Cross,0.0004039950457977998
Kengeri Housing Board Quarters,0.0004032838940410527
KR Circle,0.0004028140916298024
BMTC Depot-13,0.0004025042016765829
Elita Promenade Aparatment,0.00040054698316087443
Kodegehalli Sigehalli Bus Stand,0.00039984834612807223
Nrupatunga Nagar,0.00039943307179332057
Ambedkar College Circle,0.0003992031916153937
Chandra Layout 1st Stage,0.00039869484070297187
Wipro gate,0.0003974821765437112
Dr Ambedkar Institute Of Technology,0.0003972165635520859
Summanahalli,0.0003967897410671309
K R Road,0.0003967227078219473
RBI Layout,0.00039661780851583007
JP Nagar 7th Phase Brigade Gardenia,0.0003964805855356699
St John High School,0.00039603528757757003
Ardendale Gate Kannamangala,0.00039548306751290474
Shivanapura,0.000395331877295938
JC Nagara Police Station,0.00039368238879370027
Jigani APC Cricle,0.0003933832916405139
Syndicate bank Colony Andrahalli,0.00039202152880803414
Veerabhadranagar,0.0003918682020121677
Depot 6,0.00039026410012406526
Navarang Talkies,0.00039019760012994726
Koramangala TTMC,0.00038976730574736076
Bommanahalli,0.00038906475809470805
Arybhata ISRO Head Office,0.00038838333917316466
Pottery Town,0.00038792454801832787
Ramakrishna Ashrama,0.0003869411429355783
Isro Layout,0.0003840382726975689
Hope Farm,0.00038218757750673913
KSIT COLLEGE,0.00037998648805140334
Girinagara 2ND Stage,0.0003795890379061596
Depot-33,0.00037931651411039725
NARASAPURA,0.0003783004408676766
Thoredoddi,0.0003783004408676766
Dinnur Puspanjali Talkies,0.00037829288740212847
Sambram College MS Palya,0.00037829288740212847
Hebbal,0.00037513543831492913
Talaghattapura Police Station,0.0003747810639015566
Janapriya Greenwood Apartments,0.0003718868477240821
Jn of Hosur Road,0.0003717600135292415
M+ACER,0.0003677791762137756
Depot 40,0.0003677276157705926
BTMAXA Software Company,0.0003649501391719786
Samanduru,0.0003641995733630653
Govt First Grade College Bidadi,0.0003641995733630653
Sidihosakote,0.0003634156320096658
Yeshwanthpura Market,0.0003634156320096658
Bilejaji B.S.,0.00036000695677821607
Jayadeva Hospital,0.0003570892257974181
Yellu Kunte,0.00035393765825152156
Mallasandra Bagalagunte,0.00035393765825152156
Valley School,0.0003499019799458387
Sheshagiri Halli Mysore Road,0.00034884663103887056
Doddakannalli,0.00034832887233858035
Lokesh Tent Circle,0.00034628857460867687
Srirampura,0.00034537698680269706
Telecom Layout,0.00034398296178002937
Chinnaiahna Palya,0.0003438136107661487
National Games Village Frint Gate,0.000343030153145638
Bangalore Club Gate,0.000343030153145638
Walker Land Long Fora Road,0.000343030153145638
Bagalagunte Village,0.0003399385330325336
Thirumalapura,0.0003399385330325336
Devagere,0.0003399385330325336
Gangondanahalli,0.0003399385330325336
Cauvery Nagar,0.0003399385330325336
Huskur Village,0.0003399385330325336
Bilwarada Halli,0.0003399385330325336
Giddenahalli,0.0003399385330325336
Avaragere,0.0003399385330325336
Bileshivale,0.0003399385330325336
Sheshadri Nagara,0.0003399385330325336
Chimani Hills,0.0003399385330325336
Somashettihalli,0.0003399385330325336
Thammanayakanahalli,0.0003399385330325336
Alada Mara Ramamurthy Nagar,0.0003399385330325336
Bettenahalli,0.0003399385330325336
Singahalli,0.0003399385330325336
Bisanahalli,0.0003399385330325336
Iskcon Temple,0.0003399385330325336
Byramangala,0.0003399385330325336
Yelachaguppe,0.0003399385330325336
Medarahalli Railway Gate,0.0003399385330325336
Seegehalli,0.0003399385330325336
Horamabu petrol bunk,0.0003399385330325336
Madhugirihalli,0.0003399385330325336
Kannamangala,0.0003399385330325336
Basaveshwara Nagara 3rd Stage,0.0003399385330325336
Nayandahalli Railway Gate,0.0003399385330325336
Thippenahalli,0.0003399385330325336
Sulikere,0.0003399385330325336
Avarehalli,0.0003399385330325336
Dodda Kuntanahalli,0.0003399385330325336
Thippagondanahalli Quarters,0.0003399385330325336
Arehalli,0.0003399385330325336
Jakkur,0.0003399385330325336
Somanahalli,0.0003399385330325336
Government Soap Factory,0.0003399385330325336
Dyavasandra,0.0003399385330325336
Thyamagondlu,0.0003399385330325336
Dattatraya Nagara Temple,0.0003399385330325336
Panchsheela Nagara,0.0003399385330325336
Thunga Nagara,0.0003399385330325336
Kuguru,0.0003399385330325336
Thirupalya,0.0003399385330325336
Kachohalli,0.0003399385330325336
Vaddarapalya,0.0003399385330325336
Lingadeeranahalli,0.0003399385330325336
Esuvanahalli,0.0003399385330325336
Banashankari 3rd Stage 3rd Phase,0.0003399385330325336
Bittasandra,0.0003399385330325336
Sompura,0.0003399385330325336
Totagere,0.0003399385330325336
Ujappana Doddi,0.0003399385330325336
Kadabagere,0.0003399385330325336
Chikkabegur,0.0003399385330325336
Karnataka Slum Development Board,0.0003399385330325336
Bommashetta Halli,0.0003399385330325336
Lotte Gollahalli,0.0003399385330325336
Chandranagara,0.0003399385330325336
Madapatna,0.0003399385330325336
Ravindra Nagara,0.0003399385330325336
Gowdahalli,0.0003399385330325336
Doddabele,0.0003399385330325336
Maduranagar,0.0003399385330325336
Gonighattapura,0.0003399385330325336
Kallur,0.0003399385330325336
Poojena agrahara,0.0003399385330325336
V Kallahalli Sarjapura Road,0.0003399385330325336
Byappana Halli Satallite Bus Station,0.0003399385330325336
Thimmappana Palya,0.0003399385330325336
Hampapura,0.0003399385330325336
Kaji Hosahalli,0.0003399385330325336
Beemanakuppe,0.0003399385330325336
Sai Baba Hospital,0.0003399385330325336
Shettihalli,0.0003399385330325336
SRIRAMPURA,0.0003399385330325336
Kariyana Palya,0.0003399385330325336
Narayana Ghatta,0.0003399385330325336
Adigondana Halli,0.0003399385330325336
Hulimavu,0.0003399385330325336
Hunnigere,0.0003399385330325336
Kommagatta,0.0003399385330325336
Tavarekere Magadi Road,0.0003399385330325336
Bellandru,0.0003399385330325336
Hosa Palya,0.0003399385330325336
Subhash Nagara,0.0003399385330325336
Vajrakatte Palya,0.0003399385330325336
Kuduragere Betta Halasuru,0.0003399385330325336
Karubele,0.0003399385330325336
Kengeri Bandemata Badavane,0.0003399385330325336
Channa Nayakanapalya,0.0003399385330325336
Tattanur,0.0003399385330325336
Hennagara,0.0003399385330325336
Nettigere,0.0003399385330325336
Allalasandra,0.0003399385330325336
DODDANAGAMANGALA,0.0003399385330325336
DODDA THOGOOR,0.0003399385330325336
Tindlu,0.0003399385330325336
Vaghata,0.0003399385330325336
Makanahalli,0.0003399385330325336
BSF,0.0003399385330325336
Laxmidevi Nagar,0.0003399385330325336
CK Palya,0.0003399385330325336
Vaderamanchanahalli,0.0003399385330325336
Kalkere,0.0003399385330325336
Bangalore University ADM Block,0.0003399385330325336
Haro Kyatanahalli,0.0003399385330325336
Mantanakurchi,0.0003399385330325336
Ravogodlu,0.0003399385330325336
Mutturayanaswamy Doddi,0.0003399385330325336
Chimmasandra,0.0003399385330325336
Anchipura Colony,0.0003399385330325336
Dodderi Grama,0.0003399385330325336
Kodi Chikkanahalli,0.0003399385330325336
Bettadasanapura,0.0003399385330325336
Amruth Nagara,0.0003399385330325336
Yale Kodigehalli,0.0003399385330325336
Madappanahalli,0.0003393767627414601
Chokkasandra,0.0003393767627414601
Narayankere,0.0003393767627414601
Huskur Gate,0.0003392196676892123
Ambedkar College,0.0003390914091927988
Janapriya Apartments,0.00033869424492820885
Geleyara Balaga Bus Stand,0.00033782538547454143
Kumbalgodu,0.0003371397115819641
Patalamma Temple Uthrahalli,0.0003367335869086475
Kailasipalyam,0.00033672989283544026
Aero Space HAL,0.00033655748029933884
Allalasandra Gate Yalahanka,0.0003354779028534049
Kannuru,0.00033409163278803346
Bommawara,0.0003340185708653236
Hulimangala,0.000333822522456824
Koyira Devana Halli Road,0.00033158584178362796
Maruthi Nagara Kannur Road,0.00033125772240711097
Meesaganahalli,0.00033125772240711097
Kaval Byrasandra Bus Stand,0.0003308740392082139
Nagarabhavi Sports Club,0.0003303603036954605
MEI Colony,0.0003303603036954605
Shirke Bus Stand,0.0003303603036954605
Halasuru Laxmipura Road,0.0003303603036954605
St Vincent School,0.0003301238123453277
Girigowdana Doddi,0.00032981819593005187
TAYAPPANA DODDI,0.00032981819593005187
Andrahalli,0.00032955725293763564
Mailanahalli Bagalur,0.0003292863485529009
Agrahara Layout,0.0003292863485529009
Yarappana Bande,0.0003292863485529009
Shettty Halli,0.0003292863485529009
Ayyappa Nagara,0.0003292863485529009
Maragondanahalli,0.0003292863485529009
Dasarahalli,0.0003292863485529009
Kattiganahalli,0.0003292863485529009
RAILWAY GATE SHAMPURA,0.0003292863485529009
Ambedkar Medical College Shampura,0.0003292863485529009
Kanasawadi Madhure Temple,0.0003292863485529009
